10.2.101.92,Microsoft SQL Server 2005
10.2.101.92,Microsoft SQL Server 2008
10.2.101.92,Microsoft Visual Studio 2005 Professional 
10.2.101.92,Microsoft Visual Studio 2010 Professional 
10.2.102.100,Microsoft Office Professional Plus 2010
10.2.102.100,Microsoft Office Project Standard 2010
10.2.102.100,Microsoft Office Visio 2010
10.2.102.100,Microsoft Project Standard 2010
10.2.102.100,Microsoft Visio Standard 2010
10.2.102.102,Microsoft Office Professional Plus 2010
10.2.102.102,Microsoft Office Project Standard 2010
10.2.102.102,Microsoft Office Visio 2010
10.2.102.102,Microsoft Project Standard 2010
10.2.102.102,Microsoft Visio Standard 2010
10.2.102.110,Microsoft Office Project Professional 2010
10.2.102.110,Microsoft Office Standard 2010
10.2.102.110,Microsoft Project Professional 2010
10.2.102.113,Microsoft Access database engine 2010
10.2.102.113,Microsoft Office Professional Plus 2010
10.2.102.113,Microsoft Office Visio Professional 2007
10.2.102.113,Microsoft SQL Server 
10.2.102.113,Microsoft SQL Server 2005 
10.2.102.113,Microsoft SQL Server 2008 
10.2.102.113,Microsoft SQL Server 2012
10.2.102.113,Microsoft SQL Server 2014 
10.2.102.113,Microsoft Visual Studio 2010 Premium 
10.2.102.113,Microsoft Visual Studio Premium 
10.2.102.113,Microsoft Visual Studio Professional 
10.2.102.113,Microsoft Visual Studio Team Foundation Server 2012 
10.2.102.113,Microsoft Visual Studio Team Foundation Server 2015 
10.2.102.113,Microsoft Visual Studio Ultimate 
10.2.102.113,SQL Server 
10.2.102.113,SQL Server 2008 
10.2.102.113,SQL Server 2012 
10.2.102.115,Microsoft Access database engine 2010
10.2.102.115,Microsoft Office Professional Plus 2010
10.2.102.115,Microsoft Office Visio Professional 2007
10.2.102.115,Microsoft SQL Server 
10.2.102.115,Microsoft SQL Server 2005 
10.2.102.115,Microsoft SQL Server 2008 
10.2.102.115,Microsoft SQL Server 2012
10.2.102.115,Microsoft SQL Server 2014 
10.2.102.115,Microsoft Visual Studio 2010 Premium 
10.2.102.115,Microsoft Visual Studio Premium 
10.2.102.115,Microsoft Visual Studio Professional 
10.2.102.115,Microsoft Visual Studio Team Foundation Server 2012 
10.2.102.115,Microsoft Visual Studio Team Foundation Server 2015 
10.2.102.115,Microsoft Visual Studio Ultimate 
10.2.102.115,SQL Server 
10.2.102.115,SQL Server 2008 
10.2.102.115,SQL Server 2012 
10.2.102.116,Microsoft Office Project Standard 2010
10.2.102.116,Microsoft Office Standard 2010
10.2.102.116,Microsoft Project Standard 2010
10.2.102.126,Microsoft Office Project Professional 2010
10.2.102.126,Microsoft Office Standard 2010
10.2.102.126,Microsoft Project Professional 2010
10.2.102.134,Microsoft Office Standard 2010
10.2.102.134,Microsoft SQL Server 2005 
10.2.102.156,Microsoft Office Professional Plus 2010
10.2.102.156,Microsoft Office Project Professional 2007
10.2.102.156,Microsoft Office Standard 2010
10.2.102.158,Microsoft Office Project Professional 2010
10.2.102.158,Microsoft Office Standard 2010
10.2.102.158,Microsoft Project Professional 2010
10.2.102.161,Microsoft Office Professional Plus 2010
10.2.102.163,Microsoft Office Professional Plus 2010
10.2.102.165,Microsoft Office Professional Plus 2010
10.2.102.165,Microsoft Office Project Professional 2010
10.2.102.165,Microsoft Office Standard 2010
10.2.102.165,Microsoft Project Professional 2010
10.2.102.167,Microsoft Office Project Professional 2010
10.2.102.167,Microsoft Office Standard 2010
10.2.102.167,Microsoft Project Professional 2010
10.2.102.168,Microsoft Office Professional Plus 2010
10.2.102.177,Microsoft Office Professional Plus 2010
10.2.102.177,Microsoft Office Project Professional 2010
10.2.102.177,Microsoft Project Professional 2010
10.2.102.178,Microsoft Office Standard 2010
10.2.102.178,Microsoft Office Visio 2010
10.2.102.178,Microsoft SQL Server 2005 
10.2.102.178,Microsoft Visio Professional 2010
10.2.102.195,Microsoft Office Professional Plus 2010
10.2.102.20,Microsoft Office Standard 2010
10.2.102.205,Microsoft Office Professional Plus 2010
