10.2.43.239;"Atualização de Segurança para Windows XP (KB2761226)";"20121115";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows Internet Explorer 8 (KB2761465)";"20121213";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2770660)";"20121213";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2778344)";"20130218";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2779030)";"20121213";"";"1";"Microsoft Corporation"
10.2.43.239;"Hotfix para Windows XP (KB2779562)";"20121213";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2780091)";"20130218";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows Internet Explorer 8 (KB2792100)";"20130218";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows Internet Explorer 8 (KB2797052)";"20130218";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows Internet Explorer 8 (KB2799329)";"20130116";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2799494)";"20130218";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2802968)";"20130218";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2807986)";"20130322";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2808735)";"20130410";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows Internet Explorer 8 (KB2809289)";"20130322";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2813170)";"20130410";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2813345)";"20130410";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows Internet Explorer 8 (KB2817183)";"20130410";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2820197)";"20130520";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2820917)";"20130410";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2829361)";"20130520";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows Internet Explorer 8 (KB2829530)";"20130520";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2834886)";"20130712";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para o Windows Media Player (KB2834904-v2)";"20130904";"";"";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para o Windows Media Player (KB2834904)";"20130712";"";"";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows Internet Explorer 8 (KB2838727)";"20130613";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2839229)";"20130613";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2845187)";"20130712";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows Internet Explorer 8 (KB2846071)";"20130712";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows Internet Explorer 8 (KB2847204)";"20130520";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2847311)";"20131009";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2849470)";"20130816";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2850851)";"20130712";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2850869)";"20130816";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2859537)";"20130816";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2862152)";"20131113";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2862330)";"20131009";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2862335)";"20131009";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows Internet Explorer 8 (KB2862772)";"20130816";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização para Windows XP (KB2863058)";"20130816";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2864063)";"20130913";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2868626)";"20131113";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows Internet Explorer 8 (KB2870699)";"20130913";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2876217)";"20130913";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2876315)";"20130913";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2876331)";"20131113";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows Internet Explorer 8 (KB2879017)";"20131009";"";"1";"Microsoft Corporation"
