10.2.11.171;"Microsoft Help Viewer 1.1 Language Pack - PTB";"";"";"1.1.40219";"Microsoft Corporation"
10.2.11.171;"Microsoft SQL Server 2012 (64 bits)";"";"";"";""
10.2.11.171;"Microsoft SQL Server 2012 (64 bits)";"";"";"";"Microsoft Corporation"
10.2.11.171;"Microsoft Team Foundation Server 2010 Object Model - ENU";"";"";"10.0.40219";"Microsoft Corporation"
10.2.11.171;"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)";"";"";"10.0.31007";"Microsoft Corporation"
10.2.11.171;"TeraCopy 2.27";"20131111";"";"";"Code Sector"
10.2.11.171;"Microsoft Sync Framework Services v1.0 SP1 (x64)";"20150204";"1.0";"1.0.3010.0";"Microsoft Corporation"
10.2.11.171;"DB2 Workgroup Server Edition - wpx80db2COPY";"20140108";"9.7";"9.7.400.501";"IBM"
10.2.11.171;"Web Deployment Tool";"20150204";"1.1";"1.1.0618";"Microsoft Corporation"
10.2.11.171;"Microsoft SQL Server 2012 Transact-SQL ScriptDom ";"20150204";"11.0";"11.0.2100.60";"Microsoft Corporation"
10.2.11.171;"Microsoft Team Foundation Server 2010 Object Model - ENU";"20150212";"10.0";"10.0.40219";"Microsoft Corporation"
10.2.11.171;"Microsoft Visual C++ 2010  x64 Runtime - 10.0.40219";"20150204";"10.0";"10.0.40219";"Microsoft Corporation"
10.2.11.171;"Microsoft Sync Services for ADO.NET v2.0 SP1 (x64)";"20150204";"2.0";"2.0.3010.0";"Microsoft Corporation"
10.2.11.171;"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"20150204";"10.0";"10.0.40219";"Microsoft Corporation"
10.2.11.171;"Microsoft SQL Server System CLR Types (x64)";"20150212";"10.50";"10.50.1750.9";"Microsoft Corporation"
10.2.11.171;"SQL Server 2012 Common Files";"20150204";"11.0";"11.0.2100.60";"Microsoft Corporation"
10.2.11.171;"Warsaw 1.5.2.9896 64 bits";"20150423";"";"1.5.2.9896";"GAS Tecnologia"
