10.2.101.63;"FTDownloader";"";"";"2.1 Build 26473";"FTDownloader.com"
10.2.101.63;"Microsoft Office Access MUI (Portuguese (Brazil)) 2010";"20150325";"14.0";"14.0.4763.1000";"Microsoft Corporation"
10.2.101.63;"Microsoft Office Excel MUI (Portuguese (Brazil)) 2010";"20150325";"14.0";"14.0.4763.1000";"Microsoft Corporation"
10.2.101.63;"Microsoft Office PowerPoint MUI (Portuguese (Brazil)) 2010";"20150325";"14.0";"14.0.4763.1000";"Microsoft Corporation"
10.2.101.63;"Microsoft Office Publisher MUI (Portuguese (Brazil)) 2010";"20150325";"14.0";"14.0.4763.1000";"Microsoft Corporation"
10.2.101.63;"Microsoft Office Outlook MUI (Portuguese (Brazil)) 2010";"20150325";"14.0";"14.0.4763.1000";"Microsoft Corporation"
10.2.101.63;"Microsoft Office Word MUI (Portuguese (Brazil)) 2010";"20150325";"14.0";"14.0.4763.1000";"Microsoft Corporation"
10.2.101.63;"Microsoft Office Proof (English) 2010";"20150325";"14.0";"14.0.4763.1000";"Microsoft Corporation"
10.2.101.63;"Microsoft Office Proof (Portuguese (Brazil)) 2010";"20150325";"14.0";"14.0.4763.1000";"Microsoft Corporation"
10.2.101.63;"Microsoft Office Proof (Spanish) 2010";"20150325";"14.0";"14.0.4763.1000";"Microsoft Corporation"
10.2.101.63;"Microsoft Office Proofing (Portuguese (Brazil)) 2010";"20150325";"14.0";"14.0.4763.1000";"Microsoft Corporation"
10.2.101.63;"Microsoft Office InfoPath MUI (Portuguese (Brazil)) 2010";"20150325";"14.0";"14.0.4763.1000";"Microsoft Corporation"
10.2.101.63;"Microsoft Office Shared MUI (Portuguese (Brazil)) 2010";"20150325";"14.0";"14.0.4763.1000";"Microsoft Corporation"
10.2.101.63;"Microsoft Office OneNote MUI (Portuguese (Brazil)) 2010";"20150325";"14.0";"14.0.4763.1000";"Microsoft Corporation"
10.2.101.63;"Microsoft Office Groove MUI (Portuguese (Brazil)) 2010";"20150325";"14.0";"14.0.4763.1000";"Microsoft Corporation"
10.2.101.63;"Prerequisites for SSDT ";"20130215";"11.0";"11.0.2100.60";"Microsoft Corporation"
10.2.101.63;"Google Talk Plugin";"20130516";"3.19";"3.19.1.13088";"Google"
10.2.101.63;"Windows Live Movie Maker";"20130125";"15.4";"15.4.3502.0922";"Microsoft Corporation"
10.2.101.63;"Security Update for Microsoft .NET Framework 4.5 (KB2737083)";"";"";"1";"Microsoft Corporation"
10.2.101.63;"Security Update for Microsoft .NET Framework 4.5 (KB2742613)";"";"";"1";"Microsoft Corporation"
10.2.101.63;"Update for Microsoft .NET Framework 4.5 (KB2750147)";"";"";"1";"Microsoft Corporation"
10.2.101.63;"Security Update for Microsoft .NET Framework 4.5 (KB2789648)";"";"";"1";"Microsoft Corporation"
10.2.101.63;"Security Update for Microsoft .NET Framework 4.5 (KB2833957)";"";"";"1";"Microsoft Corporation"
10.2.101.63;"Security Update for Microsoft .NET Framework 4.5 (KB2840642)";"";"";"1";"Microsoft Corporation"
