10.2.100.66;"soapUI 4.5.1 4.5.1";"";"4.5";"4.5.1";"SmartBear Software"
10.2.100.66;"Security Update for Windows XP (KB975713)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Hotfix for Windows XP (KB976002-v5)";"20110709";"";"5";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB977816)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB977914)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB978338)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB978542)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB978601)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows Media Player (KB978695)";"20110709";"";"";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB978706)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB979309)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB979482)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB979687)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB980436)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB981322)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB981997)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB982132)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows Internet Explorer 7 (KB982381)";"20130924";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows Internet Explorer 8 (KB982381)";"20130924";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB982665)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Microsoft .NET Framework 1.1 Security Update (KB2833941)";"";"";"";""
10.2.100.66;"Microsoft .NET Framework 1.0 Hotfix (KB928367)";"";"";"";""
10.2.100.66;"MetaFrame Presentation Server Web Client for Win32";"";"";"";""
10.2.100.66;"Microsoft .NET Framework 1.1";"";"";"";""
10.2.100.66;"Microsoft .NET Framework 4 Client Profile";"";"";"4.0.30319";"Microsoft Corporation"
10.2.100.66;"Microsoft .NET Framework (English) v1.0.3705";"";"";"";""
10.2.100.66;"Microsoft Document Explorer 2005";"";"";"";"Microsoft Corporation"
10.2.100.66;"Mozilla Firefox 38.0.5 (x86 pt-BR)";"";"";"38.0.5";"Mozilla"
10.2.100.66;"Mozilla Maintenance Service";"";"";"33.0.2";"Mozilla"
10.2.100.66;"Microsoft Compression Client Pack 1.0 for Windows XP";"20150723";"";"1";"Microsoft Corporation"
10.2.100.66;"Microsoft National Language Support Downlevel APIs";"20110709";"";"";"Microsoft Corporation"
10.2.100.66;"Notepad++";"";"";"6.6.9";"Notepad++ Team"
10.2.100.66;"Microsoft Visio Standard 2010";"";"";"14.0.7015.1000";"Microsoft Corporation"
10.2.100.66;"Pdf995";"";"";"14.2s";""
10.2.100.66;"Pencil";"";"";"";"Evolus Co., Ltd."
10.2.100.66;"PowerArchiver";"";"";"";""
10.2.100.66;"PrtScr 1.7";"20130813";"";"";"FireStarter"
10.2.100.66;"RDC";"20111116";"";"";"Microsoft Corporation"
10.2.100.66;"Revo Uninstaller 1.95";"";"";"1.95";"VS Revo Group"
10.2.100.66;"Microsoft Visual SourceSafe 6.0";"";"";"";""
10.2.100.66;"Winamp";"";"";"5.65 ";"Nullsoft, Inc"
10.2.100.66;"Windows Media Format 11 runtime";"";"";"";""
10.2.100.66;"Windows Media Player 11";"";"";"";""
10.2.100.66;"Windows XP Service Pack 3";"20110709";"";"20080414.031525";"Microsoft Corporation"
10.2.100.66;"Windows Live Essentials";"";"";"14.0.8117.0416";"Microsoft Corporation"
10.2.100.66;"WinRAR archiver";"";"";"";""
10.2.100.66;"Wisdom-soft Set up ScreenHunter 5.1 Free";"";"";"";"Wisdom Software Inc."
10.2.100.66;"Windows Media Format 11 runtime";"20150723";"";"";"Microsoft Corporation"
10.2.100.66;"Windows Media Player 11";"20150723";"";"";"Microsoft Corporation"
10.2.100.66;"Microsoft User-Mode Driver Framework Feature Pack 1.0";"20150723";"";"";"Microsoft Corporation"
10.2.100.66;"PDFCreator";"20140521";"";"1.7.1";"pdfforge"
10.2.100.66;"Citrix Receiver(Aero)";"20140929";"14.1";"14.1.0.0";"Citrix Systems, Inc."
10.2.100.66;"Citrix Receiver(USB)";"20140929";"14.1";"14.1.0.0";"Citrix Systems, Inc."
10.2.100.66;"Windows Live Essentials";"20110709";"14.0";"14.0.8117.416";"Microsoft Corporation"
10.2.100.66;"QCExplorer";"";"";"";""
10.2.100.66;"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005";"20141003";"12.0";"12.0.21005";"Microsoft Corporation"
10.2.100.66;"Snow Inventory Client";"20150120";"3.7";"3.7.02";"Snow Software AB"
10.2.100.66;"MSXML 4.0 SP3 Parser";"20140320";"4.30";"4.30.2100.0";"Microsoft Corporation"
10.2.100.66;"Citrix Receiver(SSON)";"20140929";"14.1";"14.1.0.0";"Citrix Systems, Inc."
10.2.100.66;"MSXML 4.0 SP3 Parser (KB2758694)";"20131019";"4.30";"4.30.2117.0";"Microsoft Corporation"
10.2.100.66;"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"20140320";"9.0";"9.0.30729.4148";"Microsoft Corporation"
10.2.100.66;"Ferramenta de Carregamento do Windows Live";"20110709";"14.0";"14.0.8014.1029";"Microsoft Corporation"
