10.22.25.204;"BRQ\mgondim"
10.22.25.207;"BRQ\mgondim"
10.22.25.208;"BRQ\rafaelalmeida"
10.22.25.225;"fmoises_pbsb"
10.22.25.228;"DFSERVER228\darci"
10.22.28.103;"BRQ\vmarinho_pbsb"
10.22.28.115;"BRQ\rhanne"
10.22.28.118;"ececan"
10.22.28.131;"BRQ\jcvasconcelos_pbsb"
10.22.28.143;"BRQ\hmata_pbsb"
10.22.28.146;"BRQ\lfdcosta"
10.22.28.147;"BRQ\marcomelosilva"
10.22.28.181;"BRQ\pmacedo_pbsb"
10.22.28.185;"BRQ\jclemente"
10.22.28.20;"BRQ\dpaula_pbsb"
10.22.28.22;"BRQ\fmoises_pbsb"
10.22.28.24;"BRQ\andrefonseca"
10.22.28.27;"BRQ\dpaula_pbsb"
10.22.28.36;"BRQ\rhanne"
10.22.28.38;"BRQ\rrodrigues_pbsb"
10.22.28.3;"BRQ\cgraciano_pbsb"
10.22.28.40;"BRQ\mosorio_pbsb"
10.22.28.43;"BRQ\mmatos_pbsb"
10.22.28.44;"BRQ\ateles_pbsb"
10.22.28.47;"BRQ\lneto_pbsb"
10.22.28.48;"BRQ\ecristina_pbsb"
10.22.28.50;"BRQ\tneto_pbsb"
10.22.28.51;"BRQ\aviana_pbsb"
10.22.28.52;"BRQ\tmendes_pbsb"
10.22.28.53;"BRQ\msousa_pbsb"
10.22.28.67;"BRQ\cgraciano_pbsb"
10.22.28.76;"BRQ\fmonteiro_pbsb"
10.22.28.80;"BRQ\hsantos_pbsb"
10.22.28.81;"BRQ\dcarvalho_pbsb"
10.22.28.83;"BRQ\gladstonepereira"
10.22.28.85;"BRQ\cgraciano_pbsb"
10.22.28.86;"BRQ\gladstonepereira"
10.22.28.89;"BRQ\csouza_pbsb"
10.22.28.91;"BRQ\cgraciano_pbsb"
10.22.28.93;"BRQ\fgarcia_pbsb"
10.22.29.2;"BRQ\jpaula_pbsb"
10.22.30.132;"BRQ\dpaula_pbsb"
10.22.30.143;"BRQ\thalitapaiva"
10.22.30.202;"BRQ\marcelo_pbsb"
10.22.30.250;"BRQ\cgraciano_pbsb"
10.22.31.180;"BRQ\jcvasconcelos_pbsb"
10.22.31.198;"BRQ\fmoises_pbsb"
10.22.31.199;"BRQ\jclemente"
10.22.31.208;"BRQ\cgraciano_pbsb"
10.2.2.3;"BRQ\edsonlucindo"
10.2.2.4;"leilaobrq"
10.2.2.5;"BRQ\wmjunior"
10.2.2.8;"BRQ\wasantos"
10.2.40.217;"BRQ\aroldojunior"
10.2.42.100;"BRQ\dmsilva"
10.2.42.110;"wei"
