10.2.75.137;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Office 2010 (KB2553347) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Office 2010 (KB2965296) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office Proof (Portuguese (Brazil)) 2010";"20150803";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.75.137;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Office 2010 (KB2553347) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Security Update for Microsoft Office 2010 (KB2956073) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office Proof (Spanish) 2010";"20150803";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.75.137;"Update for Microsoft Office 2010 (KB2553347) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Security Update for Microsoft Office 2010 (KB2956073) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft OneNote 2010 (KB2965297) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Office 2010 (KB2965301) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Security Update for Microsoft Office 2010 (KB2553313) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Office 2010 (KB2553347) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Filter Pack 2.0 (KB2881026) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Office 2010 (KB2589352) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft SharePoint Workspace 2010 (KB2760601) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Office 2010 (KB2553347) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office Proofing (Portuguese (Brazil)) 2010";"20150803";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.75.137;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Office 2010 (KB2553347) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office InfoPath MUI (Portuguese (Brazil)) 2010";"20150803";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.75.137;"Update for Microsoft Office 2010 (KB2553347) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office Shared MUI (Portuguese (Brazil)) 2010";"20150803";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.75.137;"Security Update for Microsoft Office 2010 (KB2863817) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Security Update for Microsoft Office 2010 (KB2956076) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Office 2010 (KB2553347) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Office 2010 (KB2553140) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office OneNote MUI (Portuguese (Brazil)) 2010";"20150803";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.75.137;"Update for Microsoft Office 2010 (KB2553347) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft OneNote 2010 (KB2956075) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office Groove MUI (Portuguese (Brazil)) 2010";"20150803";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.75.137;"Update for Microsoft Office 2010 (KB2553347) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office Project Professional 2003";"20141003";"11.0";"11.0.8173.0";"Microsoft Corporation"
10.2.75.137;"Microsoft Office Visio Professional 2003";"20141003";"11.0";"11.0.8173.0";"Microsoft Corporation"
10.2.75.137;"Windows Live Movie Maker";"20120412";"15.4";"15.4.3502.0922";"Microsoft Corporation"
10.2.75.137;"Security Update for Microsoft .NET Framework 4.5.2 (KB3023224)";"";"";"1";"Microsoft Corporation"
10.2.75.137;"Security Update for Microsoft .NET Framework 4.5.2 (KB3035490)";"";"";"1";"Microsoft Corporation"
10.2.75.137;"Security Update for Microsoft .NET Framework 4.5.2 (KB3037581)";"";"";"1";"Microsoft Corporation"
10.2.75.137;"Microsoft Application Error Reporting";"20110628";"12.0";"12.0.6012.5000";"Microsoft Corporation"
10.2.75.137;"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17";"20120524";"9.0";"9.0.30729";"Microsoft Corporation"
10.2.75.137;"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"20111028";"9.0";"9.0.30729.6161";"Microsoft Corporation"
10.2.75.137;"Windows Live Mail";"20120412";"15.4";"15.4.3502.0922";"Microsoft Corporation"
