chave,_IP,_CPU,_memoria,_disco,_versaoSO,_site
RJSERVER161,10.2.17.161,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 2 core x 2 logical proc,8GB,C: 120GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
RJSERVER162,10.2.17.162,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x  core x  logical proc,3GB,C: 35GB,Microsoft(R) Windows(R) Server 2003, Enterprise Edition,BV
RJSERVER183,10.2.17.183,CPU :Intel(R) Pentium(R) III processor - 2 socket x  core x  logical proc,2GB,C: 30GB,Microsoft(R) Windows(R) Server 2003, Enterprise Edition,BV
RJSERVER184,10.2.17.184,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 2 socket x 2 core x 2 logical proc,8GB,C: 45 GB D: 30 GB E: 20 GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
RJSRVCONTAX1,10.2.17.187,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 4 socket x  core x  logical proc,4GB,C: 20 GB D: 140 GB,Microsoft(R) Windows(R) Server 2003, Enterprise Edition,BV
RJSRVSAPQA190,10.2.17.190,CPU :Intel(R) Pentium(R) III processor - 4 socket x  core x  logical proc,6GB,C: 30 GB D: 20 GB I: 250 GB,Microsoft(R) Windows(R) Server 2003 Enterprise x64 Edition,BV
RJSERVER2,10.2.17.202,CPU :Intel(R) Pentium(R) III processor - 4 socket x  core x  logical proc,3GB,C: 30GB,Microsoft(R) Windows(R) Server 2003, Enterprise Edition,BV
RJSERVER3,10.2.17.203,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,32GB,C: 49 GB D: 183 GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
DT10222,10.2.17.206,CPU :Intel Pentium III processor - 1 socket x  core x  logical proc,2GB,C: 18GB,Microsoft Windows 2000 Server,BV
RJSERVER7,10.2.17.207,CPU :Intel(R) Pentium(R) III processor - 2 socket x  core x  logical proc,3GB,C: 20 GB D: 5 GB,Microsoft(R) Windows(R) Server 2003, Enterprise Edition,BV
SRV369,10.2.17.210,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 2 socket x 2 core x 2 logical proc,4GB,C: 40GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
